Source,Target,Type,id,weight
1320597,2912716,Directed,236,1
1320597,3008978,Directed,237,1
1320597,3254778,Directed,238,1
1320597,3129374,Directed,239,1
1320597,3427704,Directed,240,1
1320597,3303528,Directed,241,1
1320597,2280780,Directed,242,1
1320597,2796931,Directed,243,1
1320597,3654946,Directed,245,1
1320597,2797015,Directed,246,1
1320597,3854914,Directed,247,1
1320582,3982562,Directed,254,1
1320582,2912709,Directed,255,1
1320582,3033163,Directed,257,1
1320582,2280618,Directed,258,1
1320579,3609769,Directed,259,1
1320579,2437752,Directed,260,1
1320579,2437741,Directed,261,1
1320579,1618242,Directed,262,1
1320579,2062383,Directed,263,1
1320579,3447704,Directed,264,1
1320579,1736072,Directed,265,1
1320579,2305214,Directed,266,1
1320579,2025459,Directed,267,1
1320579,2912715,Directed,268,1
1320579,3609760,Directed,269,1
1320579,2062393,Directed,270,1
1320579,2346444,Directed,271,1
1320579,2342596,Directed,272,1
1320579,1903881,Directed,273,1
1320601,2280580,Directed,274,1
1320601,3033086,Directed,275,1
1320601,2181429,Directed,276,1
1320601,3810372,Directed,277,1
1320601,1903948,Directed,278,1
1320601,1900892,Directed,279,1
1900865,3254856,Directed,280,1
1900865,3363076,Directed,281,1
1900865,3254830,Directed,282,1
1900865,3609787,Directed,283,1
1900870,2305186,Directed,289,1
1900870,2177999,Directed,290,1
1900870,3315492,Directed,291,1
1900870,2567939,Directed,292,1
1900870,3303544,Directed,294,1
1900870,2912722,Directed,295,1
1900864,3994320,Directed,296,1
1900864,2346444,Directed,297,1
1900864,3050668,Directed,298,1
1900864,2437752,Directed,299,1
1900864,2685979,Directed,300,1
1900869,3609787,Directed,304,1
1900869,3427704,Directed,305,1
1900869,3891501,Directed,306,1
1900869,3303547,Directed,307,1
1900869,3654946,Directed,308,1
1900869,3032908,Directed,309,1
1900869,3521040,Directed,310,1
1900869,3303528,Directed,311,1
1900869,3129374,Directed,312,1
1900869,3254778,Directed,313,1
1900869,3129371,Directed,314,1
1320598,2178011,Directed,315,1
1320598,3050669,Directed,316,1
1320598,2728709,Directed,317,1
1320598,2437752,Directed,318,1
1320598,1319635,Directed,319,1
1900875,3509405,Directed,320,1
1900875,3129393,Directed,321,1
1900875,3465121,Directed,322,1
1900875,2567938,Directed,323,1
1900875,2854954,Directed,324,1
1900875,2280580,Directed,326,1
1900875,2437752,Directed,327,1
1900875,3307437,Directed,328,1
1900877,3129388,Directed,329,1
1900877,2178009,Directed,330,1
1900877,3830515,Directed,331,1
1900877,2995792,Directed,332,1
